Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,15,Erik Swoope,TE,5,IND,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Julius Thomas,TE,1,JAX,GB,5,5,100,64,1,22,13,13,0,0,0,0,0,14.90
2016,REG,2,Julius Thomas,TE,2,JAX,LAC,7,4,57,71,0,24,10,18,0,0,0,0,0,9.10
2016,REG,3,Marcedes Lewis,TE,2,JAX,LAC,3,2,67,17,1,13,6,9,0,0,0,0,0,8.70
2016,REG,4,Marcedes Lewis,TE,1,JAX,GB,2,2,100,48,0,37,24,24,0,0,0,0,0,5.80
2016,REG,5,Marcedes Lewis,TE,3,JAX,BAL,3,3,100,20,0,7,7,7,0,0,0,0,0,3.50
2016,REG,6,Julius Thomas,TE,3,JAX,BAL,5,2,40,13,0,8,3,7,0,0,0,0,0,2.30
2016,REG,7,Marcedes Lewis,TE,4,JAX,IND,2,1,50,12,0,12,6,12,0,0,0,0,0,1.70
2016,REG,8,Ben Koyack,TE,1,JAX,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,9,Ben Koyack,TE,2,JAX,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Travis Kelce,TE,3,KC,NYJ,7,6,86,89,1,42,13,15,0,0,0,0,0,17.90
2016,REG,2,Travis Kelce,TE,4,KC,PIT,8,5,63,23,1,9,3,5,0,0,0,0,0,10.80
2016,REG,3,Travis Kelce,TE,1,KC,LAC,7,6,86,74,0,20,11,12,0,0,0,0,0,10.40
2016,REG,4,Travis Kelce,TE,2,KC,HOU,7,5,71,34,0,11,5,7,0,0,0,0,0,5.90
2016,REG,5,Demetrius Harris,TE,1,KC,LAC,3,2,67,20,0,13,7,10,0,0,0,0,0,3.00
2016,REG,6,Demetrius Harris,TE,3,KC,NYJ,3,2,67,14,0,8,5,7,0,0,0,0,0,2.40
2016,REG,7,Ross Travis,TE,3,KC,NYJ,2,2,100,10,0,6,5,5,0,0,0,0,0,2.00
2016,REG,8,Demetrius Harris,TE,4,KC,PIT,1,1,100,12,0,12,12,12,0,0,0,0,0,1.70
2016,REG,9,James O'Shaughnessy,TE,1,KC,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Ross Travis,TE,1,KC,LAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,11,Demetrius Harris,TE,2,KC,HOU,1,0,0,0,0,0,0,0,0,0,0,1,0,0.00
2016,REG,12,James O'Shaughnessy,TE,2,KC,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Ross Travis,TE,2,KC,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,James O'Shaughnessy,TE,3,KC,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,James O'Shaughnessy,TE,4,KC,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,16,Ross Travis,TE,4,KC,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Hunter Henry,TE,5,LAC,OAK,4,3,75,74,1,59,19,25,0,0,0,0,0,14.90
2016,REG,2,Hunter Henry,TE,4,LAC,NO,7,4,57,61,1,20,9,15,0,0,0,0,0,14.10
2016,REG,3,Antonio Gates,TE,2,LAC,JAX,5,3,60,15,1,7,3,5,0,0,0,0,0,9.00
2016,REG,4,Antonio Gates,TE,5,LAC,OAK,5,4,80,30,1,9,6,8,0,0,0,1,1,9.00
